"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW005"
"2013","AT",2614101,575.635,,"4","2013","7","8",1946,"1","5","3","AT","2",,"3","7","1","1",,,"1","11",,,,,"6","1","1","2",,,"15","1","2","3","2",,"2",,0,0,0,0,0,0,0,0,45100,0,0,0,0,1148,"7","10","8","8","3","5",,"3","1","8","10",,"0","7","6",,"1","1",,"10","10","3","1","1","1","1","1","1","1",
"2013","AT",2676501,575.635,,"6","2013","6","5",1959,"1","2","3","AT","2",,"3","1","2","1","2",,"3","71","39",,"b-e",,,,"1",,,,"19","2","2","3","2",,"1",,25079,445,,8028,0,0,0,0,0,0,0,0,0,2147,,"0","7","10","5","5","4","4","2",,,"10","0",,"6","10","1","1","8","2","7","2","1","1","3","1","1","1","5","820.531224938087"
"2013","AT",2719201,575.635,,"4","2013","10","10",1932,"1","4","3","AT","2",,"2","7","1",,,,"3","74","25",,"l-n",,,"1","2","2",,,"16","4","2","3","2",,"2","1",0,524,0,477,0,0,0,0,22503,0,0,0,0,,"8","5","7","10","4","5","2","4","1",,,"8","2","7","9","10","1","1","4","9","6","1","1","1","1","1","1","1","1","1089.1460036644"
"2013","AT",2843901,575.635,,"4","2013","16","11",1946,"1","2","1","AT","2",,"3","7","1",,,,"3","71","40",,,,"13","1",,,,,"18","3","2","3","2",,"2",,0,0,0,0,0,0,0,0,44208,0,0,0,0,1480,"9","7","7","9","4","5","2","3","3","7","7","6","7",,,"10","1","1","8",,"10","1","1","1","1","1","1","1","1","459.496759427379"
"2013","AT",2853401,575.635,,"5","2013","17","3",1984,"2","1","1","AT","2",,"4","1","1",,,,"2","51",,,"o",,"13",,"2","2",,,"22","1","2","2","2",,"2",,36048,0,0,0,0,0,0,0,0,0,0,0,0,,"8","10","2","10","5","5","2",,"2","9","8","10","6","5","8","10",,"1","4","10","10","3","1","2","1","3","1","1","5","420.812101695411"
"2013","AT",2856801,575.635,,"4","2013","20","1",1964,"1","2","1","AT","2",,"3","3","1",,,,"3","75","30",,"f","4",,"1","2",,,"1","14","2","2","3","2",,"2",,0,0,0,5821,300,14478,0,0,0,0,0,0,0,,"8","9","4","7","4","4","2","4","3","8","10",,"7",,"7","6","1","1","7","8","10","3","1","1","1","1","1","1","5","486.41824611343"
"2013","AT",2930801,575.635,,"6","2013","15","1",1938,"2","4","1","AT","2",,"2","7","1",,,,"3","83","50",,,,,"1","2",,,,"17","3","1","3","2",,"2",,0,0,0,9296,672,0,0,0,21317,0,0,0,0,3100,"10","10","10","10","4","4","2","5",,"7",,"5","1","8","8","10","1","1","8","9","9","1","1","1","1","1","1","1","3",
"2013","AT",2986501,575.635,,"6","2013","25","12",1932,"2","2","1","AT","2","3","2","7","1",,,,"3","NAs","20",,,,,"2","2",,,,"14","3","1","3","2",,"2",,0,0,0,0,0,0,0,0,7849,0,0,773,0,,"8","10","8","9","2","5","2","3","2","9",,"6","6","7","8","5","1","1","5","5","7","2","1","1","1","2","2","1","1",
"2013","AT",3056901,575.635,,"6","2013","10","12",1986,"2","1","3","AT","2",,"3","2","2","1","2",,"3","52",,,"b-e",,,"1","2","1",,"10","15","2","2","2","2",,"2",,8565,0,0,0,0,0,0,0,0,0,0,0,0,,"5","8","8","8","3",,"1","5","2","9",,"5","2","7","5",,,"1","2","7","10","1","1","1","1","2","1","1","1",
"2013","AT",3144101,575.635,,"6","2013","7","8",1950,"1","2","1","AT","2",,"3","7","1",,,,"3","93",,,,,"13",,"1",,,,"16","2","2","3","2","1","2",,0,0,0,761,0,0,0,0,35000,0,0,0,0,,"10","3",,"9","3","4","2","3","2","10",,"1","2","5","7","10","1","1","2","5","10","2","1","1","3","1","1","3","6","609.820413501393"
"2013","AT",3156301,575.635,,"5","2013","20","12",1932,"1","2","2","AT","2",,"2","7","2","1",,,"3","72",,,,,,"1","2","2",,,,"2","2","1","2",,"2",,0,0,0,0,324,0,0,0,11833,0,0,0,0,2653,"8","9",,"10","5","4","1","3","2","8",,"5","2","7","8","10","1","1","5","7","10","3","1","1","1","1","1","3","5","785.867365860207"
"2013","AT",3178201,575.635,,"5","2013","9","5",1952,"2","2","1","AT","2",,"2","7","1",,,,"4","61",,,,,,"1","2",,,,"14","3","1","3","2",,"2",,13822,0,0,5861,0,0,0,0,2415,2305,0,0,0,2800,"8","7","9","9","4","4","2","4","2","9",,"9","2","0","8","10",,"1","5","10","9","2","1","1","1","1","1","1","6",
"2013","AT",3254501,575.635,,"5","2013","9","12",1968,"2","2","1","AT","2",,"5","1","1","1",,,"3","74","39",,"f",,"3","1","1","2",,,"20","1","2","3","2",,"2",,40712,1004,0,0,0,0,0,0,0,0,0,0,0,1300,"10","10","5","6","5","3","1","3","1",,,"10","5","5","10",,"1","1","4","5","10","1","1","1","1","1","1","2","5","294.411190866102"
"2013","AT",3268401,575.635,,"4","2013","12","8",1964,"1","2","3","AT","2",,"4","3","1",,,,"3","23","38",,"f",,"13",,"1",,"3",,"15","3","2","3","2",,"2",,0,0,0,5986,240,31045,0,0,0,0,0,0,0,,"8","9","8","7","5","5",,"4","3",,,,"4",,,"10","1","1","7","10","8","3","1","1","1","1","1","3","6","512.089399455501"
"2013","AT",3404301,575.635,,"4","2013","20","9",1988,"2","1","1","AT","2",,"4","1","2",,,,"3","41","25",,"g","6","5","1","2",,,,"14","1","2","2","2",,"2",,20485,583,0,0,0,0,0,0,0,0,0,0,0,2200,"7","8","8","7","4","4","2","5","2","8","3","5","2","5",,"9",,"1","0","10","10","1","1","1","1","1","1","1","5","381.690808222607"
"2013","AT",3404302,575.635,,"6","2013","16","11",1988,"1","1","3","AT","1",,"3","1","1","1",,,"3","24","50",,"i",,"13","1","2",,,,"14","2","2","2","2",,"2",,33675,0,0,0,0,0,0,0,0,0,0,0,0,,"8","9","5","8","4","4","2","3","2","8",,"5","7","7","7","7","1","1",,"10","10",,"1","1","3","3","1","1","1","1394.24170313114"
"2013","AT",3431101,575.635,,"6","2013","12","1",1957,"1","2","1","AT","2",,"3","1","1","1","2",,"3","71","70",,"f",,,"1","2",,,,"21","2","2","3","2",,"2",,35587,0,0,2250,0,0,0,0,0,0,0,0,0,2242,"8","5","5","10","4","5","2","4","2","9",,"6","5","5","5","10","1",,"4","5","9","1","1","1","3","1","1","3","1","327.103411335499"
"2013","AT",3431102,575.635,,"4","2013","5","6",1959,"2","2","1","AT","2",,"3","2","1",,"1",,"3","93",,,"p",,"3","1","2",,,,"16","3","2","2","2",,"2",,16690,0,0,0,0,0,0,0,0,0,0,0,0,,"7",,"10","9","3","3","1",,,,"10","10","7","7","7","7","1","1","8","9","10","3","1","1","1","1","1","1","1","478.890814921578"
"2013","AT",3488601,575.635,,"4","2013","14","8",1950,"1","1","1","AT","2",,"3","7","1","1",,,"2","92",,,,,"13",,"1","2",,,"18","2","2","2","2",,"2",,0,0,0,7256,0,0,10476,0,16007,0,0,0,0,,,,"8","8","3","4","1","4","3",,"10","7","6","5","5","10","2","1","7","10","10","2","1","1","1","2","1","1","6","644.37013782831"
"2013","AT",3488602,575.635,,"3","2013","17","4",1954,"2","5","1","AT","2",,"2","5","1","2",,,"3","32","40",,"k",,"7","1","1","2",,"1","15","2","1","3","2",,"2",,4047,672,0,0,1200,0,0,10694,0,0,717,0,0,,"10","6","10","3","4","3","2","3","2","8","3","5","5","3","5","9","1","1",,"5","9","2","1","1","1","1","2","1","3",
"2013","AT",3537301,575.635,,"6","2013","13","3",1948,"2","2","3","AT","2","5","3","7","1","2","2",,,"51",,,,,,"1",,,,,,"1","2","3","2",,"2",,0,0,0,29193,0,39,0,0,2708,0,0,0,0,,"10","9","7","8","3","4","2","4","2",,"10","8","6","10","8",,"1","2","10","10","7","2","1","1","3","1","3","2","5","1270.17569786926"
"2013","AT",3537302,575.635,,"4","2013","21","4",1945,"1","2","1","AT","2",,"5","7","2",,,,"3","71",,,,,"6","1","1","2",,,"20","2","2","3","2",,"2",,0,0,0,0,0,0,0,0,40307,0,0,0,0,,"10","10",,"10","3","4","2","5",,"9",,"5","2","6",,,,"1",,"7","8","1","1","1","1","2","1","1","1",
"2013","AT",3678101,575.635,,"6","2013","33","1",1978,"1","1","3","AT","2",,"2","1","1",,,,"3","72",,,"b-e",,,"1","1",,,,"20","1","2","3","2",,"2",,27227,238,0,0,2040,0,0,0,0,0,754,0,0,1900,"8",,,"8","3","5","3","5","2",,"4","8",,"6","7","10","2","1","6","10","7","1","1","1","1","1","2","1","5",
"2013","AT",3678102,575.635,,"3","2013","16","3",1983,"2","1","1","AT","2",,"5","5","1","1",,,"3","31","39",,"p","3","1","1","2","2",,,"15","2","1","2","2",,"2",,6215,0,0,0,0,0,0,88,0,0,0,0,0,2000,,"3","8","5","5",,"2","5",,,,"5","3","7","10","10","1","1",,"8","9","1","1","1","1","3","1","1","3",
"2013","AT",3704801,575.635,,"6","2013","20","5",1977,"2","2","1","AT","2",,"4","2","2",,,,"3","22",,,"p",,,"1","2","2",,,"14","3","1","2","2",,"2",,24025,0,0,4684,0,0,0,0,0,0,0,0,0,,"7","8",,"10","5","4","3","3","2",,,"10","5","7","9","9",,"1","8","6","10","3","1","1","1","2","1","1","3","2203.45801576574"
"2013","AT",3704802,575.635,,"4","2013","10","2",1979,"1","2","3","AT","2",,"4","1","1",,,,"3","91","40",,"q",,"11",,"2","2",,,"17","5","1","2","2",,"2",,24997,0,0,0,0,0,0,0,0,0,0,0,0,850,"8","8","8","6","4","5","3","3",,"9",,"8","5","8","10","8","1","1","6","10","6","2","1","1","1","2","1","3","5","613.491727266084"
"2013","AT",3811801,575.635,,"3","2013","18","6",1933,"1","4","1","AT","2",,"3","7","1","1",,,"3","71","39",,,,,"1","1","2",,"4","16","2","1","2","2",,"2",,0,0,0,8861,0,2518,0,0,428,0,0,24343,0,,"6","10","7","8","4","5","2","4","2","8",,"5","0","5","7","10","1","1","5","6","10","1","2","1","2","1","1","3","3","457.823063198261"
"2013","AT",3811802,575.635,,"4","2013","19","6",1963,"1","1","2","AT","1",,"2","8","2","1",,,"3","51","15",,,,,"1",,"2",,"4","15","2","1","3","2",,"2",,0,0,0,7997,600,0,0,0,4888,0,0,10795,0,5631,,"8","6","10","2","5","4","4","3",,,"10","7","8","5","5","1","1","6","10","7",,"1","1","1","1","1","1","1","278.405862667358"
"2013","AT",3902101,575.635,,"3","2013","11","5",1932,"2","4","3","AT","2",,"2","7","1",,,,"3","NAs","29",,,"6",,"1","2",,,,"14","4","1","3","2",,"2",,0,238,0,0,0,0,6435,0,10228,0,0,0,0,,"10","8","7","5","3","5","2","4","3",,,,"0","10",,"10","1","1","7","8","10","1","3","1","1","1","2","3","1","495.745818923305"
"2013","AT",3902102,575.635,,"4","2013","16","4",1959,"1","2","3","AT","2",,"3","1","2","1",,,"3","31","39",,"b-e",,,"1","2","2",,,"16","3","1","3","2",,"2",,24416,695,0,0,0,768,0,0,0,0,0,0,0,1945,"6","6","7","8","3","4","2",,"2",,,"8","5","5","3","10","1","1",,,"8","1","2","1","1","1","3","3","6",
"2013","AT",3904101,575.635,,"6","2013","17","10",1941,"1","2","1","AT","2",,"2","7","1","1",,,"3","NAs","38",,"k",,"13","1","2","2",,,"28","2","2","3","2",,"2",,0,0,0,1288,0,0,0,0,48158,0,0,0,0,362,,,"7","9","4","3","2","3",,"9",,"4","3","1",,"7","1","1","5","8","7","1","1","1","3","2","1","1","6","1308.18357362575"
"2013","AT",3904102,575.635,,"3","2013","19","7",1941,"2","2","3","AT","2","3","2","10","2",,"2",,"1","82",,,"b-e",,"13",,"1",,,"3","29","1","1","3","2",,"2",,0,0,0,10491,0,0,0,0,0,0,0,0,0,2338,"1",,"8","7",,"5","1","4","3",,,"8","5","8","7","9","1","1","3","4",,"2","1","1","1","3","1","1","5","337.714469964758"
